Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_bzip2_0	0.090996	1.819919	0.020257	0.000072	0.290951
spec_bzip2_1	0.090661	1.813220	0.020543	0.000060	0.209755
spec_bzip2_2	0.087268	1.745362	0.012655	0.000068	0.480906
spec_bzip2_3	0.088751	1.775015	0.020266	0.000072	0.244487
spec_bzip2_4	0.126927	2.538546	0.020162	0.000072	0.911638
spec_bzip2_5	0.085133	1.702656	0.020266	0.000072	0.183357
spec_bzip2_6	0.089640	1.792806	0.018001	0.000068	0.320363
spec_bzip2_7	0.088834	1.776676	0.016702	0.000066	0.343283
spec_bzip2_8	0.088418	1.768358	0.016009	0.000066	0.357530
spec_bzip2_9	0.100432	2.008644	0.022871	0.000084	0.423037
spec_bzip2_10	0.090661	1.813220	0.020543	0.000060	0.209755
