Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
speclibm_1	0.176446	3.528922	0.062567	0.000094	0.964161
speclibm_2	0.175684	3.513687	0.061561	0.000089	0.986485
speclibm_3	0.175457	3.509131	0.061266	0.000089	0.993181
speclibm_4	0.176013	3.520265	0.062151	0.000101	0.973305
speclibm_5	0.175910	3.518196	0.062151	0.000101	0.973305
speclibm_6	0.175692	3.513844	0.062151	0.000101	0.973305
speclibm_7	0.174919	3.498384	0.060972	0.000087	0.999976
speclibm_8	0.175312	3.506233	0.060972	0.000085	0.999983
speclibm_9	0.175312	3.506233	0.060972	0.000085	0.999983
speclibm_10	0.281063	5.621266	0.122595	0.000088	0.991260
speclibm_11	0.131189	2.623786	0.033071	0.000111	0.894966
