Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_mcf_0	0.057835	1.156702	0.003445	0.000027	0.510134
spec_mcf_1	0.056649	1.132986	0.003308	0.000031	0.301435
spec_mcf_2	0.057692	1.153847	0.002379	0.000019	0.742778
spec_mcf_3	0.057672	1.153442	0.003444	0.000027	0.475161
spec_mcf_4	0.057485	1.149695	0.003444	0.000027	0.437838
spec_mcf_5	0.057467	1.149332	0.003444	0.000027	0.434047
spec_mcf_6	0.057667	1.153330	0.002446	0.000019	0.720421
spec_mcf_7	0.057643	1.152864	0.002371	0.000019	0.757789
spec_mcf_8	0.057638	1.152759	0.002347	0.000019	0.768310
spec_mcf_9	0.058853	1.177057	0.004499	0.000031	0.674605
spec_mcf_10	0.056649	1.132986	0.003308	0.000031	0.301435
