Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specsjeng_0	0.514066	10.281320	0.121912	0.000020	0.998645
specsjeng_1	0.514056	10.281112	0.121870	0.000019	0.999333
specsjeng_2	0.514019	10.280373	0.121845	0.000019	0.999746
specsjeng_3	0.514014	10.280283	0.121912	0.000020	0.998645
specsjeng_4	0.513772	10.275440	0.121912	0.000020	0.998645
specsjeng_5	0.513522	10.270446	0.121912	0.000020	0.998645
specsjeng_6	0.514020	10.280395	0.121831	0.000018	0.999963
specsjeng_7	0.514000	10.280002	0.121829	0.000018	0.999981
specsjeng_8	0.513972	10.279446	0.121829	0.000018	0.999983
specsjeng_9	0.882491	17.649814	0.243703	0.000022	0.999594
specsjeng_10	0.340533	6.810651	0.061055	0.000014	0.995521
